Institute,Branch,Duration (Years),Degree Title,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Indore,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4905,5064
IIT Indore,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4946,6812
IIT Indore,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),12137,14123
IIT Indore,Metallurgical Engineering and Materials Science,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,8299,10894
IIT Indore,Metallurgical Engineering and Materials Science,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),18413,19770
IIT Indore,Space Sciences and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5666,6640
IIT Indore,Space Sciences and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),10683,10970
IIT Kharagpur,Aerospace Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2716,4745
IIT Kharagpur,Aerospace Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),10505,11444
IIT Kharagpur,Agricultural and Food Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5515,10770
IIT Kharagpur,Agricultural and Food Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),15669,19903
IIT Kharagpur,Applied Geology,4,Bachelor of Science,AI,OPEN,Gender-Neutral,10069,12893
IIT Kharagpur,Applied Geology,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),20374,22024
IIT Kharagpur,Architecture,5,Bachelor of Architecture,AI,OPEN,Gender-Neutral,16634,20427
IIT Kharagpur,Architecture,5,Bachelor of Architecture,AI,OPEN,Female-only (including Supernumerary),20942,24653
IIT Kharagpur,Artificial Intelligence,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,467,898
IIT Kharagpur,Artificial Intelligence,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2604,2630
IIT Kharagpur,Biotechnology and Biochemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5505,7972
IIT Kharagpur,Biotechnology and Biochemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),14147,15493
IIT Kharagpur,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3905,4848
