Institute,Branch,Duration (Years),Degree Title,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Delhi,Electrical Engineering (Power and Automation),4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2789,2886
IIT Delhi,Energy Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1868,2668
IIT Delhi,Energy Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),3645,6315
IIT Delhi,Engineering and Computational Mechanics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,858,1103
IIT Delhi,Engineering and Computational Mechanics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),3041,3918
IIT Delhi,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1393,2565
IIT Delhi,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4457,6755
IIT Delhi,Materials Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2499,3736
IIT Delhi,Materials Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7895,9060
IIT Delhi,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,157,323
IIT Delhi,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),743,1234
IIT Delhi,Mathematics and Computing,5,Bachelor and Master of Technology (Dual Degree),AI,OPEN,Gender-Neutral,325,355
IIT Delhi,Mathematics and Computing,5,Bachelor and Master of Technology (Dual Degree),AI,OPEN,Female-only (including Supernumerary),1447,2258
IIT Delhi,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1156,1862
IIT Delhi,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4074,5178
IIT Delhi,Production and Industrial Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1988,3223
IIT Delhi,Production and Industrial Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6903,7617
IIT Delhi,Textile Technology,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5015,5733
IIT Delhi,Textile Technology,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),9841,11158
IIT Indore,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,7246,8824
